Week,Arizona,Atlanta,Baltimore,Buffalo,Carolina,Chicago,Cincinnati,Cleveland,Dallas,Denver,Detroit,Green.Bay,Houston,Indianapolis,Jacksonville,Kansas.City,LA.Chargers,LA.Rams,Las.Vegas,Miami,Minnesota,New.England,New.Orleans,NY.Giants,NY.Jets,Philadelphia,Pittsburgh,San.Francisco,Seattle,Tampa.Bay,Tennessee,Washington
1,217.3,294.6,210,204.8,228.1,205.7,228.2,222.1,296.9,194.7,243.8,236.9,241.7,194.2,235,282.8,276.6,281.2,245.4,237.8,215.3,245.3,263,233.2,194.4,235,186.3,220.7,243,302.8,207.7,175.8
2,224,434,270,306,259,214,173,168,244,216,288,364,242,357,150,203,207,269,239,182,248,140,189,262,202,208,208,243,299,224,247,159
3,251,350.5,223.5,358.5,299.5,191.5,229,193.5,344.5,215.5,253,296.5,247.5,280,232.5,246,251.5,263.5,250,246.5,171.5,268.5,250.5,241,187.5,225,254.5,210,287,220.5,239,179
4,256.6666667,309.3333333,172.3333333,330.3333333,273.3333333,230,238,176.3333333,383.3333333,205,246,288,242,264.6666667,237,292.3333333,274,279.3333333,249.6666667,216.3333333,193.6666667,231,258.6666667,215.6666667,175.3333333,218.6666667,242.3333333,249,289.6666667,242,262.6666667,188
5,225.75,294.25,180.75,316.25,274,232.75,253.5,182.5,407.75,214.25,232.25,294.75,254,245,262.75,276.5,275,255,261.5,240.25,207.25,216.25,251,201.5,179.5,207.5,242.3333333,262,303,273.75,262.6666667,209.5
6,254.4,276.8,178.8,308,281.8,227.8,229.8,198.2,381.4,214.25,232.25,294.75,274.6,244,268,287.8,267.8,264,278.4,260.6,215.4,216.25,263.4,203.4,176,214.4,239.5,235.2,280.4,265.6,245.75,181.6
7,241.5,291.1666667,177.8333333,277,266.6666667,222.8333333,241.5,189.3333333,359,204.2,230.4,257.2,282.1666667,265.1666667,261.8333333,276.6666667,267.8,253,278.4,249.1666667,235,207.2,263.4,187.5,171.3333333,207,221.2,240.6666667,280.4,249,265.4,193.1666667
8,258.4285714,295.5714286,177.8333333,279.7142857,263.7142857,223.8571429,262.2857143,207.4285714,316.1428571,209.1666667,245.6666667,261.5,282.7142857,265.1666667,246.4285714,263.5714286,281.3333333,247,277.1666667,249.1666667,235,197.1666667,265.6666667,184.2857143,159.8571429,226.8571429,229,244.8571429,295.6666667,266.1428571,256.1666667,192.5714286
9,258.4285714,292.375,179.8571429,263.375,250.375,225,260.625,196.75,293.125,214,253,265.7142857,282.7142857,262.5714286,246.4285714,286.375,280.4285714,258.625,251.8571429,226.4285714,223,192,266.5714286,193.25,155.875,211.375,221,251.625,289,265.75,251.4285714,192.5714286
10,259.125,290,176.875,277,259.3333333,235.4444444,260.625,196.75,285,225,257.875,269.25,280.75,258.125,251.625,294.6666667,284.375,258.625,240.375,225.75,221.625,202.25,268.5,192.2222222,167.1111111,211.375,232,255,298.125,256.8888889,237,214.125
11,256.5555556,290,184.1111111,278.9,245.6,222.7,252.2222222,188.7777778,285,227.4444444,258.8888889,274.3333333,266.5555556,262.4444444,240.4444444,294.6666667,272.1111111,261.3333333,230.7777778,219.4444444,228.7777778,194.7777778,252.3333333,196.1,167.1111111,209,243.2222222,252.7,289.4444444,264.6,225.8888889,232
12,256.6,280.6,183.4,278.9,246.7272727,222.7,247.2,188.6,276.1,231.7,247.5,277,274.3,264.2,229.7,300.4,279.6,272.8,235.2,214.2,236.4,210.2,248.1,196.1,170,209,245.6,252.7,278.7,260.1818182,228.3,224.9
13,247.8181818,271.3636364,174.9090909,268.0909091,248.4166667,223.2727273,235.1818182,194.3636364,268,211.7272727,250.3636364,271,277.2727273,265.6363636,230.1818182,314.5454545,280.6363636,264.5454545,232.2727273,216.6363636,250.0909091,197.3636364,231.2727273,200.4545455,170.2727273,206.3636364,247.4545455,250.9090909,273.8181818,267,227.5454545,218.6363636
