"","Week","Arizona","Atlanta","Baltimore","Buffalo","Carolina","Chicago","Cincinnati","Cleveland","Dallas","Denver","Detroit","Green.Bay","Houston","Indianapolis","Jacksonville","Kansas.City","LA.Chargers","LA.Rams","Las.Vegas","Miami","Minnesota","New.England","New.Orleans","NY.Giants","NY.Jets","Philadelphia","Pittsburgh","San.Francisco","Seattle","Tampa.Bay","Tennessee","Washington"
"1",1,62.5,68.5,68,64.6,67.3,63.8,65.6,60.8,66.8,59.6,63.8,63.2,64.4,63.5,63.8,61.7,62.3,65.9,61.8,63.9,60.5,67.9,62.6,63.2,59.8,68.5,58.6,62.4,64.6,67.9,58.8,55.3
"2",2,81,79,59,85,68,67,70,69,71,59,76,78,59,72,49,69,75,75,63,59,50,64,68,67,54,69,66,63,59,67,82,73
"3",3,78.5,77.5,64,72.5,70,66.5,80.5,63.5,77,67,67.5,73,59.5,71.5,62,71,78,71.5,70.5,66,49,65,63,66,59,70,65.5,61.5,59.5,60.5,71.5,67
"4",4,73.6666666666667,74.3333333333333,61,67.6666666666667,65.3333333333333,71,78,63.6666666666667,78.6666666666667,64.6666666666667,67,69.3333333333333,55.3333333333333,67.3333333333333,62.3333333333333,72,77,70.3333333333333,66.6666666666667,59.3333333333333,54,67,62.3333333333333,61.3333333333333,59.3333333333333,76.3333333333333,69.6666666666667,66.6666666666667,63,62.6666666666667,74,65.3333333333333
"5",5,69,73,60,65.75,67.5,68.25,77.25,66.5,78.75,65,66.75,67.25,57.75,68.5,63.75,72.5,70.75,67.25,68,62.75,57.25,69,64,63.25,64.25,72.25,69.6666666666667,67.5,63,65.75,74,67
"6",6,69,71.6,61,66.6,67.2,66.8,75,68.2,76.4,65,66.75,67.25,58.4,65.8,66,71.4,70.6,67.2,68,63.8,62.8,69,66.8,63.8,61.8,69.4,69.25,66,60.8,66.2,71,64.2
"7",7,67.6666666666667,73.5,62.5,65.5,67,66.8333333333333,75.1666666666667,65.8333333333333,78,65.8,68,66.2,60.8333333333333,65,65.5,72,70.6,65.6666666666667,68,62.6666666666667,60.6666666666667,66.8,66.8,61.1666666666667,63.1666666666667,68.6666666666667,68,65.6666666666667,60.8,65.6666666666667,71.2,65.5
"8",8,70.1428571428571,73,62.5,67.5714285714286,63.8571428571429,66.1428571428571,75.1428571428571,63.8571428571429,74.7142857142857,67.6666666666667,67.1666666666667,65.3333333333333,61.7142857142857,65,64.5714285714286,69.4285714285714,72.1666666666667,66.2857142857143,65.6666666666667,62.6666666666667,60.6666666666667,64.1666666666667,67.1666666666667,60.2857142857143,61.5714285714286,69.4285714285714,69.3333333333333,65.5714285714286,64.6666666666667,66.4285714285714,69,65.8571428571429
"9",9,70.1428571428571,72.875,65,66.375,62.5,66.875,74.5,62.125,75.75,66.5714285714286,66.2857142857143,65.4285714285714,61.7142857142857,66.4285714285714,64.5714285714286,69.125,74.2857142857143,69.75,67,60.5714285714286,59,64,68.5714285714286,61.5,61.375,68,66.5714285714286,65.875,64.8571428571429,66.875,67.8571428571429,65.8571428571429
"10",10,69.625,72.6666666666667,64.875,66.5555555555556,64.3333333333333,67.8888888888889,74.5,62.125,75.6666666666667,67.375,67,65.375,62,66.375,65.125,68.2222222222222,74.75,69.75,65,60.25,58.5,65.875,69.25,63.2222222222222,59.6666666666667,68,66.375,64.2222222222222,64.875,64.6666666666667,66.375,64.125
"11",11,70.1111111111111,72.6666666666667,64.8888888888889,67,62.7,66.3,73.5555555555556,62.2222222222222,75.6666666666667,67.6666666666667,66,64.8888888888889,61.2222222222222,66.8888888888889,64.8888888888889,68.2222222222222,73.4444444444444,69.7777777777778,65.4444444444444,60.3333333333333,60,65.1111111111111,68,63.8,59.6666666666667,67.5555555555556,66.6666666666667,64.6,65.2222222222222,66.3,65.8888888888889,66.4444444444444
"12",12,69.4,71.6,65,67,63.5454545454545,66.3,73.1,62.8,74.6,67.4,65,64.2,60.9,68.1,64.1,68.7,74.1,70.2,64.7,60.6,60.1,65.4,67.6,63.8,59.2,67.4,67.6,64.6,65.1,66.4545454545455,66.4,66.2
"13",13,69,72.0909090909091,64.6363636363636,66.3636363636364,63.9166666666667,66.2727272727273,70.7272727272727,63.0909090909091,73.2727272727273,65,66.0909090909091,64.5454545454545,60.0909090909091,68,64,69.1818181818182,74.6363636363636,69.5454545454545,64.2727272727273,61.4545454545455,61.2727272727273,64.2727272727273,67.2727272727273,65.8181818181818,58.8181818181818,67.3636363636364,68.0909090909091,65.4545454545455,64.5454545454545,65.5833333333333,66.6363636363636,66.3636363636364
