Week,Away,Home,Away.Score,Home.Score,Total
1,13,22,43,34,77
1,20,6,34,30,64
1,30,3,38,26,63
1,31,24,23,34,57
1,14,17,20,34,54
1,7,12,27,23,50
1,15,16,20,27,47
1,27,33,17,27,44
1,2,29,24,20,44
1,26,5,17,27,44
1,9,4,6,38,44
1,28,25,26,16,42
1,10,19,17,20,37
1,21,23,11,21,32
1,32,11,16,14,30
1,18,8,16,13,29
2,3,10,39,40,79
2,23,30,30,35,65
2,8,9,30,35,65
2,16,32,30,33,63
2,12,13,21,42,63
2,5,21,31,28,59
2,24,20,24,34,58
2,19,27,37,19,56
2,4,14,33,16,49
2,6,31,17,31,48
2,11,28,21,26,47
2,33,2,15,30,45
2,29,26,31,13,44
2,17,18,23,20,43
2,22,15,11,28,39
2,25,7,13,17,30
3,10,30,31,38,69
3,13,24,37,30,67
3,19,5,32,35,67
3,32,22,31,30,61
3,20,23,20,36,56
3,7,3,30,26,56
3,33,9,20,34,54
3,17,4,34,20,54
3,14,28,21,28,49
3,12,2,26,23,49
3,8,27,23,23,46
3,29,25,36,9,45
3,21,16,31,13,44
3,26,15,7,36,43
3,31,11,28,10,38
3,6,18,21,16,37
4,9,10,49,38,87
4,18,31,31,38,69
4,11,26,37,28,65
4,24,12,35,29,64
4,16,8,25,33,58
4,30,21,31,23,54
4,22,14,31,23,54
4,5,20,30,23,53
4,2,6,21,31,52
4,4,33,31,17,48
4,3,13,16,30,46
4,27,29,25,20,45
4,23,17,10,26,36
4,15,7,19,11,30
4,25,19,9,17,26
5,20,17,40,32,72
5,25,10,34,37,71
5,27,28,29,38,67
5,21,29,43,17,60
5,5,32,16,42,58
5,18,24,27,30,57
5,15,9,23,32,55
5,22,30,26,27,53
5,16,14,14,30,44
5,19,33,30,10,40
5,2,26,30,10,40
5,31,7,19,20,39
5,6,3,23,16,39
5,8,4,3,27,30
6,14,32,36,42,78
6,3,22,40,23,63
6,4,27,30,28,58
6,8,15,27,31,58
6,12,16,34,16,50
6,13,31,10,38,48
6,2,10,38,10,48
6,9,28,7,38,45
6,17,5,26,17,43
6,19,29,16,24,40
6,33,25,19,20,39
6,7,6,23,16,39
6,11,23,18,12,30
6,26,21,0,24,24
7,9,8,37,34,71
7,30,2,34,37,71
7,16,18,29,39,68
7,31,20,45,20,65
7,17,11,43,16,59
7,13,14,35,20,55
7,28,32,27,24,51
7,6,24,24,27,51
7,12,3,23,22,45
7,25,27,21,22,43
7,29,23,33,6,39
7,7,19,10,24,34
7,10,33,3,25,28
7,5,26,18,10,28
8,29,30,27,37,64
8,15,12,41,21,62
8,18,11,30,31,61
8,28,4,28,24,52
8,32,8,20,31,51
8,22,13,28,22,50
8,24,7,26,23,49
8,31,25,25,23,48
8,19,21,17,28,45
8,23,5,21,24,45
8,26,17,9,35,44
8,3,6,25,17,42
8,10,27,9,23,32
8,20,9,16,6,22
9,30,5,34,44,78
9,21,2,34,31,65
9,6,17,31,33,64
9,11,3,27,34,61
9,23,26,30,27,57
9,20,18,31,26,57
9,12,22,20,34,54
9,14,16,27,25,52
9,13,29,34,17,51
9,25,33,23,20,43
9,28,10,24,19,43
9,7,32,17,24,41
9,24,31,38,3,41
9,4,15,24,10,34
10,31,6,46,23,69
10,5,2,30,32,62
10,33,12,27,30,57
10,15,32,34,17,51
10,18,21,21,29,50
10,11,20,12,37,49
10,8,28,10,36,46
10,27,25,17,27,44
10,16,13,20,24,44
10,29,24,13,27,40
10,4,23,17,23,40
10,30,19,16,23,39
10,22,7,19,13,32
10,14,9,7,10,17
11,17,20,35,31,66
11,13,15,31,34,65
11,8,33,9,20,29
11,26,18,28,34,62
11,10,22,31,28,59
11,32,4,30,27,57
11,19,31,27,24,51
11,2,30,21,28,49
11,23,14,20,27,47
11,27,9,17,22,39
11,3,24,9,24,33
11,21,11,13,20,33
11,28,16,27,3,30
11,12,6,0,20,20
12,14,12,41,25,66
12,33,10,41,16,57
12,20,3,6,43,49
12,18,5,17,27,44
12,25,8,19,17,36
12,32,15,45,26,71
12,6,22,27,28,55
12,2,23,17,20,37
12,21,26,20,3,23
12,9,16,27,25,52
12,24,11,31,3,34
12,29,19,23,20,43
12,17,31,27,24,51
12,7,13,25,41,66
12,30,27,23,17,40
12,4,28,14,19,33
13,24,3,21,16,37
13,12,7,34,30,64
13,9,32,41,35,76
13,8,21,7,19,26
13,16,22,24,27,51
13,20,26,31,28,59
13,15,14,26,20,46
13,19,2,38,28,66
13,25,30,17,12,29
13,27,13,16,30,46
13,23,18,45,0,45
13,11,17,16,22,38
13,33,28,23,17,40
13,5,29,34,24,58
13,10,4,17,34,51
